ProductID,ProductName,Category,Brand,UnitPrice,CostPrice,Supplier,IsActive
1,Tablet,Electronics,Samsung,163.26,130.0,Supplier_7,True
2,Football,Sports,Nike,31.67,24.6,Supplier_33,True
3,Yoga Mat,Sports,Cosco,297.4,215.56,Supplier_18,True
4,Jacket,Fashion,Levi's,187.98,146.16,Supplier_49,True
5,Monitor,Electronics,Samsung,88.32,57.39,Supplier_39,True
6,Smart Watch,Electronics,Dell,111.64,71.16,Supplier_6,True
7,Yoga Mat,Sports,Nivia,127.96,104.22,Supplier_43,True
8,Pressure Cooker,Home & Kitchen,Prestige,587.57,434.58,Supplier_30,True
9,Jacket,Fashion,Puma,147.22,112.66,Supplier_44,True
10,Yoga Mat,Sports,Cosco,464.73,367.27,Supplier_25,True
11,Badminton Racket,Sports,Cosco,638.9,423.0,Supplier_15,True
12,Microwave,Home & Kitchen,Hawkins,66.41,42.43,Supplier_37,True
13,Sneakers,Fashion,Levi's,646.23,443.49,Supplier_10,True
14,Hoodie,Fashion,Adidas,410.82,274.1,Supplier_28,False
15,Pressure Cooker,Home & Kitchen,Philips,321.05,259.67,Supplier_4,True
16,Sneakers,Fashion,Adidas,409.2,302.24,Supplier_39,False
17,Yoga Mat,Sports,Nivia,520.12,431.78,Supplier_47,True
18,Badminton Racket,Sports,Nivia,88.84,64.66,Supplier_30,True
19,Pressure Cooker,Home & Kitchen,LG,321.53,258.76,Supplier_41,True
20,Cricket Bat,Sports,Adidas,127.76,84.89,Supplier_35,True
21,Gym Bag,Sports,Nivia,30.71,19.54,Supplier_20,True
22,Smart Watch,Electronics,Apple,585.05,474.01,Supplier_32,True
23,Cricket Bat,Sports,Cosco,526.16,333.28,Supplier_11,True
24,Gym Bag,Sports,Adidas,758.34,482.54,Supplier_49,True
25,Microwave,Home & Kitchen,Hawkins,316.12,224.67,Supplier_8,True
26,Jacket,Fashion,Nike,28.87,20.31,Supplier_38,True
27,Laptop,Electronics,Samsung,190.87,122.18,Supplier_22,True
28,Badminton Racket,Sports,Cosco,434.31,337.8,Supplier_9,False
29,Sneakers,Fashion,Levi's,127.97,103.3,Supplier_28,True
30,Moisturizer,Beauty,Nivea,529.32,433.28,Supplier_42,True
31,Tablet,Electronics,Dell,500.33,402.29,Supplier_13,True
32,Cricket Bat,Sports,Nike,284.21,216.72,Supplier_16,True
33,Face Wash,Beauty,Maybelline,55.65,34.79,Supplier_1,True
34,Sneakers,Fashion,Adidas,318.75,247.96,Supplier_26,True
35,T-Shirt,Fashion,Levi's,643.64,492.8,Supplier_30,True
36,Moisturizer,Beauty,Maybelline,113.21,85.85,Supplier_4,True
37,Mixer,Home & Kitchen,Prestige,415.09,296.25,Supplier_34,True
38,Laptop,Electronics,HP,524.3,427.16,Supplier_5,True
39,Lipstick,Beauty,Lakme,187.85,130.65,Supplier_40,True
40,Lipstick,Beauty,Maybelline,418.9,266.16,Supplier_14,True
41,Sneakers,Fashion,Puma,108.1,74.13,Supplier_30,True
42,Monitor,Electronics,Samsung,448.04,314.37,Supplier_7,True
43,Yoga Mat,Sports,Cosco,220.18,139.95,Supplier_5,True
44,Pressure Cooker,Home & Kitchen,Bajaj,318.48,224.71,Supplier_20,True
45,Football,Sports,Nivia,589.35,470.08,Supplier_8,True
46,Badminton Racket,Sports,Cosco,190.15,148.06,Supplier_22,True
47,Cookware Set,Home & Kitchen,LG,207.99,133.05,Supplier_4,True
48,Face Wash,Beauty,Mamaearth,17.71,11.74,Supplier_41,True
49,Hoodie,Fashion,Levi's,506.76,355.78,Supplier_8,True
50,T-Shirt,Fashion,Zara,600.36,418.95,Supplier_10,False
51,Jacket,Fashion,Nike,296.84,188.68,Supplier_3,True
52,T-Shirt,Fashion,Adidas,261.01,183.3,Supplier_27,True
53,Jeans,Fashion,Adidas,534.65,441.89,Supplier_48,True
54,Serum,Beauty,L'Oreal,130.3,88.01,Supplier_25,True
55,Shampoo,Beauty,L'Oreal,567.67,410.13,Supplier_20,True
56,Jeans,Fashion,Nike,269.17,205.25,Supplier_5,True
57,Cookware Set,Home & Kitchen,LG,527.29,342.96,Supplier_22,True
58,Smartphone,Electronics,Sony,469.25,294.49,Supplier_3,True
59,Badminton Racket,Sports,Nike,486.43,366.99,Supplier_39,True
60,Shampoo,Beauty,Maybelline,199.99,134.81,Supplier_1,True
61,Mixer,Home & Kitchen,Hawkins,744.87,474.95,Supplier_40,True
62,Smart Watch,Electronics,Sony,220.25,161.55,Supplier_26,True
63,Cricket Bat,Sports,Cosco,340.48,216.02,Supplier_44,True
64,Badminton Racket,Sports,Adidas,320.47,208.98,Supplier_20,True
65,Hoodie,Fashion,Levi's,408.32,307.26,Supplier_29,False
66,Sneakers,Fashion,Zara,631.88,398.93,Supplier_48,True
67,Smart Watch,Electronics,Sony,485.4,335.29,Supplier_6,True
68,Pressure Cooker,Home & Kitchen,Philips,100.16,82.2,Supplier_31,True
69,Lipstick,Beauty,Nivea,155.65,105.27,Supplier_32,False
