StoreID,StoreName,StoreType,City,State,Region,OpeningDate
1,Junagadh Store,Supermarket,Junagadh,Delhi,North,2014-05-29
2,Bardhaman Store,Mall Outlet,Bardhaman,Maharashtra,West,2019-01-28
3,Kottayam Store,Online Fulfillment Center,Kottayam,Delhi,North,2024-09-24
4,Davanagere Store,Retail Store,Davanagere,West Bengal,East,2017-06-14
5,Chinsurah Store,Mall Outlet,Chinsurah,Delhi,North,2017-04-10
6,Sikar Store,Online Fulfillment Center,Sikar,Delhi,North,2018-12-23
7,Gudivada Store,Warehouse,Gudivada,West Bengal,East,2016-09-05
8,Amravati Store,Mall Outlet,Amravati,Karnataka,South,2018-08-15
9,Pondicherry Store,Supermarket,Pondicherry,West Bengal,East,2021-12-01
10,Kolkata Store,Supermarket,Kolkata,Maharashtra,West,2023-10-07
11,Nagaon Store,Warehouse,Nagaon,Delhi,North,2017-03-03
12,Kadapa Store,Supermarket,Kadapa,Uttar Pradesh,North,2013-12-08
13,Jaipur Store,Warehouse,Jaipur,Karnataka,South,2025-04-17
14,Pimpri-Chinchwad Store,Retail Store,Pimpri-Chinchwad,Uttar Pradesh,North,2022-09-27
15,Ranchi Store,Online Fulfillment Center,Ranchi,Tamil Nadu,South,2020-01-12
16,Jammu Store,Retail Store,Jammu,Rajasthan,West,2012-08-15
17,Kurnool Store,Supermarket,Kurnool,Delhi,North,2014-06-25
18,Jabalpur Store,Retail Store,Jabalpur,Delhi,North,2014-01-26
19,Belgaum Store,Warehouse,Belgaum,West Bengal,East,2016-11-28
20,Raiganj Store,Supermarket,Raiganj,Karnataka,South,2012-09-11
21,Nagaon Store,Supermarket,Nagaon,Karnataka,South,2025-07-24
22,Kharagpur Store,Online Fulfillment Center,Kharagpur,Delhi,North,2017-11-01
23,Kamarhati Store,Warehouse,Kamarhati,Maharashtra,West,2013-10-20
24,Jamalpur Store,Online Fulfillment Center,Jamalpur,West Bengal,East,2012-07-30
25,Mango Store,Supermarket,Mango,Rajasthan,West,2011-12-21
26,Ratlam Store,Retail Store,Ratlam,Delhi,North,2012-05-20
27,Sultan Pur Majra Store,Supermarket,Sultan Pur Majra,Tamil Nadu,South,2018-04-01
28,Mirzapur Store,Online Fulfillment Center,Mirzapur,Delhi,North,2021-04-29
29,Sonipat Store,Warehouse,Sonipat,Karnataka,South,2024-03-19
30,Karawal Nagar Store,Mall Outlet,Karawal Nagar,West Bengal,East,2011-12-26
31,Tenali Store,Mall Outlet,Tenali,Karnataka,South,2024-09-30
32,Dindigul Store,Online Fulfillment Center,Dindigul,Tamil Nadu,South,2018-05-08
33,Ambattur Store,Mall Outlet,Ambattur,West Bengal,East,2012-12-24
34,Jalna Store,Warehouse,Jalna,Rajasthan,West,2018-05-27
35,Bhagalpur Store,Retail Store,Bhagalpur,Delhi,North,2016-09-10
36,Fatehpur Store,Mall Outlet,Fatehpur,Rajasthan,West,2023-02-22
37,Bhind Store,Warehouse,Bhind,West Bengal,East,2021-04-20
38,Meerut Store,Online Fulfillment Center,Meerut,West Bengal,East,2020-03-15
39,Vadodara Store,Retail Store,Vadodara,Karnataka,South,2018-02-09
40,Haridwar Store,Retail Store,Haridwar,Tamil Nadu,South,2014-01-22
41,Rajpur Sonarpur Store,Mall Outlet,Rajpur Sonarpur,Tamil Nadu,South,2013-06-23
42,Gwalior Store,Supermarket,Gwalior,West Bengal,East,2022-10-09
